=== Simulation Summary ===
Strategy: FCFS (First Come First Serve)
Time,E0,E1,E2,E3
0,2,1,1,1
1,3,1,1,1
2,4,2,1,1
3,5,3,1,1
4,5,2,1,1
5,4,1,1,1
6,3,1,1,1
7,2,2,1,1
8,3,3,2,1
9,4,4,3,2
10,5,5,4,2
11,6,6,5,2
12,7,7,6,3
13,8,8,7,4
14,9,9,8,5
15,10,8,9,6
16,10,7,8,7
17,9,6,7,8
18,8,5,6,9
19,7,4,5,10
20,6,3,4,9
21,5,2,3,8
22,4,2,2,7
23,3,2,2,6
24,2,2,2,5
25,1,2,2,4
26,2,2,2,3
27,3,2,2,3
28,4,2,2,3
29,5,2,2,3
30,4,2,2,3
31,5,2,2,3
32,6,2,2,3
33,7,2,2,3
34,6,2,2,3
35,5,2,2,3
36,4,2,2,3
37,3,2,2,3
38,2,2,2,3
39,1,2,2,3
40,2,2,2,3
41,3,2,2,3
42,4,2,2,3
43,5,2,2,3
44,4,2,2,3
45,3,2,2,3
46,4,2,2,3
47,5,2,2,3
48,6,2,2,3
49,7,2,2,3
50,8,2,2,3
51,9,2,2,3
52,8,2,2,3
53,7,2,2,3
54,6,2,2,3
55,5,2,2,3
56,4,2,2,3
57,3,2,2,3
58,2,2,2,3
59,1,2,2,3
60,2,2,2,3
61,3,2,2,3
62,4,2,2,3
63,5,2,2,3
64,6,2,2,3
65,7,2,2,3
66,8,2,2,3
67,7,2,2,3
68,6,2,2,3
69,5,2,2,3
70,4,2,2,3
71,3,2,2,3
72,2,2,2,3
73,1,2,2,3
Requests: 21
Wait Time - Min: 0, Max: 53, Avg: 13.19
Ride Time - Min: 1, Max: 8, Avg: 4.24
----------------------------------------------------------------------
