Strategy: LoadBalancing
Time,E0,E1,E2,E3
0,1,1,1,1
1,2,1,1,1
2,3,1,1,1
3,4,1,1,1
4,5,1,1,1
5,4,1,1,1
6,3,1,1,1
7,2,1,1,1
8,1,1,1,1
9,2,1,1,1
10,3,1,1,1
11,4,1,1,1
12,5,1,1,1
13,6,1,1,1
14,7,1,1,1
15,8,1,1,1
16,9,1,1,1
17,10,2,1,1
18,9,3,1,1
19,8,4,1,1
20,7,5,1,1
21,6,6,1,1
22,5,6,1,1
23,4,6,1,1
24,3,6,1,1
25,2,6,1,1
26,1,6,1,1
27,2,6,1,1
28,3,6,1,1
29,4,6,1,1
30,5,6,1,1
31,6,6,1,1
32,7,6,1,1
33,8,6,1,1
34,9,6,1,1
35,10,6,1,1
36,9,6,1,1
37,8,6,1,1
38,7,6,1,1
39,6,6,1,1
40,5,6,1,1
41,4,6,1,1
42,3,6,1,1
43,2,6,1,1
44,1,6,1,1
45,2,6,1,1
46,3,6,1,1
47,4,6,1,1
48,5,6,1,1
