Strategy: SCAN
Time,E0,E1,E2,E3
0,1,1,1,1
1,2,1,1,1
2,3,1,1,1
3,4,1,1,1
4,5,1,1,1
5,4,2,1,1
6,3,3,1,1
7,2,4,1,1
8,1,5,1,1
9,2,6,1,1
10,3,7,1,1
11,4,8,1,1
12,3,9,1,1
13,2,10,2,1
14,1,9,3,1
15,2,8,4,2
16,3,7,5,3
17,4,6,6,4
18,5,5,7,5
19,6,4,8,5
20,7,3,9,5
21,8,2,10,5
22,9,3,9,5
23,10,4,8,5
24,10,5,7,5
25,10,6,6,5
26,10,7,5,5
27,10,8,4,5
28,10,9,3,5
29,10,10,2,5
30,10,10,1,5
31,10,10,2,5
32,10,10,3,5
33,10,10,4,5
34,10,10,5,5
35,10,10,6,5
36,10,10,7,5
37,10,10,8,5
38,10,10,9,5
39,10,10,8,5
40,10,10,7,5
41,10,10,6,5
42,10,10,5,5
43,10,10,4,5
44,10,10,3,5
45,10,10,4,5
46,10,10,5,5
47,10,10,6,5
48,10,10,7,5
49,10,10,8,5
